type_habit,prix,image_lien,quartier,region
Ensemble,5000,https://images.coinafrique.com/thumb_3846425_uploaded_image1_1661437058.jpg,HLM, Dakar
Vêtement,4000,https://images.coinafrique.com/thumb_3846409_uploaded_image1_1661436776.jpg,HLM, Dakar
Vêtement,4000,https://images.coinafrique.com/thumb_3846403_uploaded_image1_1661436655.jpg,HLM, Dakar
Vêtements,3000,https://images.coinafrique.com/thumb_3841152_uploaded_image1_1661173639.jpg,HLM, Dakar
Vêtements,6000,https://images.coinafrique.com/thumb_3841108_uploaded_image1_1661172378.jpg,HLM, Dakar
Habits,3000,https://images.coinafrique.com/thumb_3785558_uploaded_image1_1657883008.jpg,Dakar, Sénégal
Robepetite,8000,https://images.coinafrique.com/thumb_3785563_uploaded_image1_1657883218.jpg,Dakar, Sénégal
Jeans,8000,https://images.coinafrique.com/thumb_3785562_uploaded_image1_1657883147.jpg,Dakar, Sénégal
Vêtements,8000,https://images.coinafrique.com/thumb_3785559_uploaded_image1_1657883070.jpg,Dakar, Sénégal
Habits,7000,https://images.coinafrique.com/thumb_3785557_uploaded_image1_1657882962.jpg,Dakar, Sénégal
Robed'été,2000,https://images.coinafrique.com/thumb_3825327_uploaded_image1_1660216212.jpg,Dakar, Sénégal
Costumegarçon-4,27000,https://images.coinafrique.com/thumb_3795696_uploaded_image1_1658520434.jpg,Dakar, Sénégal
MaillotsSénégal,10000,https://images.coinafrique.com/thumb_3794471_uploaded_image1_1658452420.jpg,Dieuppeul-Derklé, Dakar
Robe,8000,https://images.coinafrique.com/thumb_3754887_uploaded_image1_1655981354.jpg,Dakar, Sénégal
Robe,7000,https://images.coinafrique.com/thumb_3754885_uploaded_image1_1655981294.jpg,Dakar, Sénégal
Robe,8000,https://images.coinafrique.com/thumb_3754884_uploaded_image1_1655981242.jpg,Dakar, Sénégal
Robe,8000,https://images.coinafrique.com/thumb_3754882_uploaded_image1_1655981151.jpg,Dakar, Sénégal
Vêtement,5000,https://images.coinafrique.com/thumb_3753646_uploaded_image1_1655912715.jpg,Dakar, Sénégal
Robes,12000,https://images.coinafrique.com/thumb_3753641_uploaded_image1_1655912626.jpg,Dakar, Sénégal
