type_chauss,prix,image_lien,quartier,region
Chaussures,8000,https://images.coinafrique.com/thumb_4372705_uploaded_image1_1694464836.jpg,Dakar Plateau, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_4410938_uploaded_image1_1696941032.jpg,Yoff, Dakar
Chaussures,11000,https://images.coinafrique.com/thumb_4402279_uploaded_image1_1696422852.jpg,Dakar, Sénégal
Chaussures,9000,https://images.coinafrique.com/thumb_4397886_uploaded_image1_1696179932.jpg,Dakar, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_4396320_uploaded_image1_1696061527.jpg,Dakar, Sénégal
Chaussures,15000,https://images.coinafrique.com/thumb_4394927_uploaded_image1_1695956109.jpg,Grand Dakar, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_4392112_uploaded_image1_1695751474.jpg,Diamalaye 1, Dakar
Baskets,10000,https://images.coinafrique.com/thumb_4385753_uploaded_image1_1695314124.jpg,Ngaparou, Sénégal
Chaussures,28000,https://images.coinafrique.com/thumb_4367839_uploaded_image2_1694130362.jpeg,Medina, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4361430_uploaded_image2_1693749843.jpeg,Sacré-Coeur, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4351852_uploaded_image1_1693108691.jpg,Grand Dakar, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_4351183_uploaded_image1_1693054139.jpg,Parcelle Assainies, Dakar
Sandales,1500,https://images.coinafrique.com/thumb_4344885_uploaded_image1_1692655215.jpg,Thies, Sénégal
Chaussuresenfant-7,15000,https://images.coinafrique.com/thumb_4336733_uploaded_image1_1692136230.jpg,Ouakam, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_4327769_uploaded_image1_1691537125.jpg,Grand Dakar, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_4287055_uploaded_image1_1688860044.jpg,Mermoz-Sacré Coeur, Dakar
Sandales,3500,https://images.coinafrique.com/thumb_4286887_uploaded_image2_1688846347.jpeg,Parcelle Assainies, Dakar
Basketsenfant,20000,https://images.coinafrique.com/thumb_4201412_uploaded_image1_1683164968.jpg,Grand Dakar, Dakar
Chaussures,2000,https://images.coinafrique.com/thumb_4187241_uploaded_image1_1682255769.jpg,HLM, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_4136187_uploaded_image1_1678918009.jpg,Dakar Plateau, Dakar
Ballerines,7500,https://images.coinafrique.com/thumb_4175703_uploaded_image1_1681413005.jpg,Sicap foire, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_4124281_uploaded_image1_1678211049.jpg,Dakar Plateau, Dakar
Cramponspour,12000,https://images.coinafrique.com/thumb_4101596_uploaded_image1_1676845748.jpg,Diamniadio, Sénégal
Chaussures,2000,https://images.coinafrique.com/thumb_4139946_uploaded_image1_1679215303.jpg,Ouakam, Dakar
Chaussures,2000,https://images.coinafrique.com/thumb_4139937_uploaded_image1_1679215240.jpg,Ouakam, Dakar
Chaussures,2000,https://images.coinafrique.com/thumb_4139933_uploaded_image1_1679181631.jpg,Ouakam, Dakar
Chaussures,12000,https://images.coinafrique.com/thumb_4111498_uploaded_image1_1677508687.jpg,Guediawaye, Dakar
Bottesfourrées,13000,https://images.coinafrique.com/thumb_4110432_uploaded_image1_1677428890.jpg,Parcelle Assainies, Dakar
Baskets,20000,https://images.coinafrique.com/thumb_4096757_uploaded_image1_1676513509.jpg,Grand Dakar, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4050259_uploaded_image1_1673728537.jpg,Dakar Plateau, Dakar
Chaussures,5500,https://images.coinafrique.com/thumb_4059363_uploaded_image1_1674301059.jpg,Yoff, Dakar
Chaussures,5500,https://images.coinafrique.com/thumb_4059370_uploaded_image1_1674301238.jpg,Yoff, Dakar
Chaussures,5500,https://images.coinafrique.com/thumb_4059365_uploaded_image1_1674301160.jpg,Yoff, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4081818_uploaded_image1_1675653272.jpg,Grand Dakar, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_4028219_uploaded_image1_1672405449.jpg,Dakar Plateau, Dakar
,7000,https://images.coinafrique.com/thumb_4060976_uploaded_image1_1674416715.jpg,Grand Yoff, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_4019759_uploaded_image1_1671731981.jpg,Dakar Plateau, Dakar
ChaussureJordan,7500,https://images.coinafrique.com/thumb_4040246_uploaded_image1_1673189828.jpg,Parcelle Assainies, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4038506_uploaded_image1_1673066961.jpg,Colobane, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_4038403_uploaded_image1_1673050094.jpg,HLM, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4024385_uploaded_image1_1672137859.jpg,Colobane, Dakar
Chaussures,15000,https://images.coinafrique.com/thumb_4002819_uploaded_image1_1670672099.jpg,Colobane, Dakar
Chaussuresenfant,7000,https://images.coinafrique.com/thumb_4000084_uploaded_image1_1670513545.jpg,Colobane, Dakar
